pair_id,ref_index,kind,expected,operator,status,candidates,matched,predicted_type,type_correct,coverage,precision,iou
R00000,0,CLONE_INTERVAL,T3,t3_wrap_statement,ok,2,True,T3,True,1.0,0.3902,0.3902
R00000,1,MUTATION,T3,t3_wrap_statement,ok,4,True,T3,True,1.0,1.0,1.0
R00000,2,UNTOUCHED,T1,none,ok,4,True,T1,True,0.8571,0.2609,0.25
R00000,3,UNTOUCHED,T1,none,ok,4,True,T1,True,0.5,0.1538,0.1333
R00001,0,CLONE_INTERVAL,T1,t1_add_blank_line,ok,1,True,T1,True,0.9167,0.6471,0.6111
R00001,1,MUTATION,T1,t1_add_blank_line,ok,1,False,,False,0.0,0.0,0.0
R00001,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.8,0.25,0.2353
R00001,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.5,0.125,0.1111
R00002,0,CLONE_INTERVAL,T3,t3_wrap_statement,ok,1,True,T3,True,1.0,0.2,0.2
R00002,1,MUTATION,T3,t3_wrap_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00002,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.8462,1.0,0.8462
R00002,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6154,0.6154,0.4444
R00003,0,CLONE_INTERVAL,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.3846,0.3846
R00003,1,MUTATION,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.0476,0.0476
R00003,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.8,0.1905,0.1818
R00003,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6923,0.4286,0.36
R00004,0,CLONE_INTERVAL,T2,t2_change_string_literal,ok,1,True,T2,True,1.0,0.28,0.28
R00004,1,MUTATION,T2,t2_change_string_literal,ok,3,True,T2,True,1.0,1.0,1.0
R00004,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.8333,1.0,0.8333
R00004,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.7143,0.6667,0.5263
R00005,0,CLONE_INTERVAL,T1,t1_add_eol_comment,ok,1,True,T1,True,0.8333,0.5556,0.5
R00005,1,MUTATION,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.1111,0.1111
R00005,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6667,0.2222,0.2
R00005,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6667,0.2222,0.2
R00006,0,CLONE_INTERVAL,T2,t2_change_string_literal,ok,1,True,T2,True,1.0,0.1579,0.1579
R00006,1,MUTATION,T2,t2_change_string_literal,ok,3,True,T2,True,1.0,1.0,1.0
R00006,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.7692,0.9091,0.7143
R00006,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.5833,0.8235,0.5185
R00007,0,CLONE_INTERVAL,T2,t2_rename_local,ok,1,True,T2,True,1.0,0.6552,0.6552
R00007,1,MUTATION,T2,t2_rename_local,ok,9,True,T2,True,1.0,1.0,1.0
R00007,1,MUTATION,T2,t2_rename_local,ok,9,True,T2,True,1.0,1.0,1.0
R00007,1,MUTATION,T2,t2_rename_local,ok,9,True,T2,True,1.0,1.0,1.0
R00007,1,MUTATION,T2,t2_rename_local,ok,9,True,T2,True,1.0,1.0,1.0
R00007,5,UNTOUCHED,T1,none,ok,9,True,T1,True,0.8333,0.8333,0.7143
R00007,6,UNTOUCHED,T1,none,ok,9,True,T1,True,0.5714,0.5714,0.4
R00008,0,CLONE_INTERVAL,T3,t3_delete_statement,ok,1,True,T3,True,1.0,0.2,0.2
R00008,1,MUTATION,T3,t3_delete_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00008,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.6667,0.5
R00008,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.7368,0.7778,0.6087
R00009,0,CLONE_INTERVAL,T3,t3_delete_statement,ok,1,True,T3,True,1.0,0.2778,0.2778
R00009,1,MUTATION,T3,t3_delete_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00009,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.5,0.4,0.2857
R00009,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6154,0.8889,0.5714
R00010,0,CLONE_INTERVAL,T3,t3_insert_statement,ok,1,True,T3,True,1.0,0.3636,0.3636
R00010,1,MUTATION,T3,t3_insert_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00010,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.8333,0.7143,0.625
R00010,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.7,0.6364,0.5
