pair_id,expected,band,cluster_id,status,analysis_mode,fallback_stage,fallback_reason,detected,primary_type,type_correct,any_correct_overlap,reference_range_fp,strict_product_fp,candidate_id,coverage_left,coverage_right,boundary_precision_left,boundary_precision_right,iou_left,iou_right,wall_ms
mARI_00002,T2,,mARI_00002,ok,SOURCE_PLUS_WALA_SMT,,,true,T1,false,false,true,true,AR1,0.750000,0.750000,1.000000,1.000000,0.750000,0.750000,35731
mARI_00003,T2,,mARI_00003,ok,SOURCE_PLUS_WALA_SMT,,,true,T1,false,false,true,true,AR1,0.837838,0.837838,1.000000,1.000000,0.837838,0.837838,37125
mARI_00004,T2,,mARI_00004,ok,SOURCE_PLUS_WALA_SMT,,,true,T1,false,false,true,true,AR1,0.731707,0.731707,1.000000,1.000000,0.731707,0.731707,40704
mARI_00006,T2,,mARI_00006,ok,SOURCE_PLUS_WALA_SMT,,,false,NO_DETECTION,false,false,false,true,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42288
mARI_00008,T2,,mARI_00008,ok,SOURCE_PLUS_WALA_SMT,,,true,T3,false,false,true,true,AR2,0.845070,0.830986,1.000000,1.000000,0.845070,0.830986,30649
mCC_BT_00003,T1,,mCC_BT_00003,ok,SOURCE_PLUS_WALA_SMT,,,false,NO_DETECTION,false,false,false,true,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29642
mCC_BT_00005,T1,,mCC_BT_00005,ok,SOURCE_PLUS_WALA_SMT,,,true,T1,true,true,true,true,AR1,0.806452,0.806452,1.000000,1.000000,0.806452,0.806452,45173
mCC_BT_00006,T1,,mCC_BT_00006,ok,SOURCE_PLUS_WALA_SMT,,,true,T1,true,true,true,true,AR2,0.735849,0.735849,1.000000,1.000000,0.735849,0.735849,45046
mCC_BT_00008,T1,,mCC_BT_00008,ok,SOURCE_PLUS_WALA_SMT,,,false,NO_DETECTION,false,false,false,false,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28712
mCC_BT_00009,T1,,mCC_BT_00009,ok,SOURCE_PLUS_WALA_SMT,,,true,T1,true,true,true,true,AR1,0.833333,0.833333,1.000000,1.000000,0.833333,0.833333,28340
mCC_EOL_00002,T1,,mCC_EOL_00002,ok,SOURCE_PLUS_WALA_SMT,,,false,NO_DETECTION,false,false,false,true,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32692
mCC_EOL_00003,T1,,mCC_EOL_00003,ok,SOURCE_PLUS_WALA_SMT,,,false,NO_DETECTION,false,false,false,true,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31672
mCC_EOL_00004,T1,,mCC_EOL_00004,ok,SOURCE_PLUS_WALA_SMT,,,false,NO_DETECTION,false,false,false,false,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32350
mCC_EOL_00006,T1,,mCC_EOL_00006,ok,SOURCE_PLUS_WALA_SMT,,,true,T1,true,true,true,true,AR1,0.735849,0.735849,1.000000,1.000000,0.735849,0.735849,33849
mCC_EOL_00009,T1,,mCC_EOL_00009,ok,SOURCE_PLUS_WALA_SMT,,,true,T1,true,true,true,true,AR1,0.812500,0.812500,1.000000,1.000000,0.812500,0.812500,995241
mCF_A_00001,T1,,mCF_A_00001,ok,SOURCE_PLUS_WALA_SMT,,,false,NO_DETECTION,false,false,false,true,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,998506
mCF_A_00002,T1,,mCF_A_00002,ok,SOURCE_PLUS_WALA_SMT,,,false,NO_DETECTION,false,false,false,true,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33936
mCF_A_00003,T1,,mCF_A_00003,ok,SOURCE_PLUS_WALA_SMT,,,false,NO_DETECTION,false,false,false,true,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35649
mCF_A_00008,T1,,mCF_A_00008,ok,SOURCE_PLUS_WALA_SMT,,,false,NO_DETECTION,false,false,false,false,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,339238
mCF_A_00009,T1,,mCF_A_00009,ok,SOURCE_PLUS_WALA_SMT,,,true,T1,true,true,true,true,AR2,0.791667,0.795918,1.000000,1.000000,0.791667,0.795918,334674
mCF_R_00001,T1,,mCF_R_00001,ok,SOURCE_PLUS_WALA_SMT,,,false,NO_DETECTION,false,false,false,false,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38739
mCF_R_00002,T1,,mCF_R_00002,ok,SOURCE_PLUS_WALA_SMT,,,false,NO_DETECTION,false,false,false,true,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38554
mCF_R_00003,T1,,mCF_R_00003,ok,SOURCE_PLUS_WALA_SMT,,,false,NO_DETECTION,false,false,false,false,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35808
mCF_R_00004,T1,,mCF_R_00004,ok,SOURCE_PLUS_WALA_SMT,,,false,NO_DETECTION,false,false,false,true,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36750
mCF_R_00005,T1,,mCF_R_00005,ok,SOURCE_PLUS_WALA_SMT,,,true,T1,true,true,true,true,AR1,0.806452,0.800000,1.000000,1.000000,0.806452,0.800000,37218
