pair_id,ref_index,kind,clone_type,operator,left_begin,left_end,right_begin,right_end
R00000,0,CLONE_INTERVAL,T1,t1_add_block_comment,18,23,18,24
R00000,1,MUTATION,T1,t1_add_block_comment,,,23,23
R00000,2,UNTOUCHED,T1,none,3,17,3,17
R00000,3,UNTOUCHED,T1,none,24,27,25,28
R00001,0,CLONE_INTERVAL,T1,t1_add_eol_comment,11,16,11,16
R00001,1,MUTATION,T1,t1_add_eol_comment,15,15,15,15
R00001,2,UNTOUCHED,T1,none,5,10,5,10
R00001,3,UNTOUCHED,T1,none,17,23,17,23
R00002,0,CLONE_INTERVAL,T1,t1_add_blank_line,7,12,7,13
R00002,1,MUTATION,T1,t1_add_blank_line,,,12,12
R00002,2,UNTOUCHED,T1,none,4,6,4,6
R00002,3,UNTOUCHED,T1,none,13,26,14,27
R00003,0,CLONE_INTERVAL,T1,t1_add_blank_line,10,25,10,26
R00003,1,MUTATION,T1,t1_add_blank_line,,,15,15
R00003,2,UNTOUCHED,T1,none,3,9,3,9
R00003,3,UNTOUCHED,T1,none,26,28,27,29
R00004,0,CLONE_INTERVAL,T1,t1_reindent,11,21,11,21
R00004,1,MUTATION,T1,t1_reindent,11,21,11,21
R00004,2,UNTOUCHED,T1,none,5,10,5,10
R00004,3,UNTOUCHED,T1,none,22,28,22,28
R00005,0,CLONE_INTERVAL,T1,t1_add_eol_comment,73,78,73,78
R00005,1,MUTATION,T1,t1_add_eol_comment,73,73,73,73
R00005,2,UNTOUCHED,T1,none,68,72,68,72
R00005,3,UNTOUCHED,T1,none,79,88,79,88
R00006,0,CLONE_INTERVAL,T3,t3_wrap_statement,9,14,9,16
R00006,1,MUTATION,T3,t3_wrap_statement,13,13,13,15
R00006,2,UNTOUCHED,T1,none,3,8,3,8
R00006,3,UNTOUCHED,T1,none,15,19,17,21
R00007,0,CLONE_INTERVAL,T3,t3_delete_statement,8,13,7,11
R00007,1,MUTATION,T3,t3_delete_statement,12,12,,
R00007,2,UNTOUCHED,T1,none,4,7,3,6
R00007,3,UNTOUCHED,T1,none,14,18,12,16
R00008,0,CLONE_INTERVAL,T1,t1_add_eol_comment,6,11,6,11
R00008,1,MUTATION,T1,t1_add_eol_comment,10,10,10,10
R00008,2,UNTOUCHED,T1,none,3,5,3,5
R00008,3,UNTOUCHED,T1,none,12,19,12,19
R00009,0,CLONE_INTERVAL,T3,t3_delete_statement,8,13,8,12
R00009,1,MUTATION,T3,t3_delete_statement,13,13,,
R00009,2,UNTOUCHED,T1,none,3,7,3,7
R00009,3,UNTOUCHED,T1,none,14,19,13,18
R00010,0,CLONE_INTERVAL,T2,t2_change_int_literal,7,12,7,12
R00010,1,MUTATION,T2,t2_change_int_literal,7,7,7,7
