pair_id,ref_index,kind,clone_type,operator,left_begin,left_end,right_begin,right_end
R00000,0,CLONE_INTERVAL,T1,t1_reindent,6,11,6,11
R00000,1,MUTATION,T1,t1_reindent,6,11,6,11
R00000,2,UNTOUCHED,T1,none,3,5,3,5
R00000,3,UNTOUCHED,T1,none,12,28,12,28
R00001,0,CLONE_INTERVAL,T1,t1_reindent,7,12,7,12
R00001,1,MUTATION,T1,t1_reindent,7,12,7,12
R00001,2,UNTOUCHED,T1,none,3,6,3,6
R00001,3,UNTOUCHED,T1,none,13,19,13,19
R00002,0,CLONE_INTERVAL,T3,t3_delete_statement,7,17,7,16
R00002,1,MUTATION,T3,t3_delete_statement,11,11,,
R00002,2,UNTOUCHED,T1,none,3,6,3,6
R00002,3,UNTOUCHED,T1,none,18,24,17,23
R00003,0,CLONE_INTERVAL,T1,t1_add_eol_comment,7,13,7,13
R00003,1,MUTATION,T1,t1_add_eol_comment,9,9,9,9
R00003,2,UNTOUCHED,T1,none,3,6,3,6
R00003,3,UNTOUCHED,T1,none,14,17,14,17
R00004,0,CLONE_INTERVAL,T3,t3_insert_statement,7,14,7,14
R00004,1,MUTATION,T3,t3_insert_statement,,,15,15
R00004,2,UNTOUCHED,T1,none,3,6,3,6
R00004,3,UNTOUCHED,T1,none,15,21,16,22
R00005,0,CLONE_INTERVAL,T1,t1_add_block_comment,10,17,10,18
R00005,1,MUTATION,T1,t1_add_block_comment,,,17,17
R00005,2,UNTOUCHED,T1,none,3,9,3,9
R00005,3,UNTOUCHED,T1,none,18,20,19,21
R00006,0,CLONE_INTERVAL,T2,t2_change_int_literal,7,28,7,28
R00006,1,MUTATION,T2,t2_change_int_literal,28,28,28,28
R00006,2,UNTOUCHED,T1,none,3,6,3,6
R00006,3,UNTOUCHED,T1,none,29,33,29,33
R00007,0,CLONE_INTERVAL,T3,t3_delete_statement,8,13,8,12
R00007,1,MUTATION,T3,t3_delete_statement,12,12,,
R00007,2,UNTOUCHED,T1,none,3,7,3,7
R00007,3,UNTOUCHED,T1,none,14,18,13,17
R00008,0,CLONE_INTERVAL,T3,t3_insert_statement,6,11,6,11
R00008,1,MUTATION,T3,t3_insert_statement,,,12,12
R00008,2,UNTOUCHED,T1,none,3,5,3,5
R00008,3,UNTOUCHED,T1,none,12,25,13,26
R00009,0,CLONE_INTERVAL,T1,t1_add_eol_comment,10,15,10,15
R00009,1,MUTATION,T1,t1_add_eol_comment,14,14,14,14
R00009,2,UNTOUCHED,T1,none,4,9,4,9
R00009,3,UNTOUCHED,T1,none,16,21,16,21
R00010,0,CLONE_INTERVAL,T1,t1_reindent,8,13,8,13
R00010,1,MUTATION,T1,t1_reindent,8,13,8,13
R00010,2,UNTOUCHED,T1,none,3,7,3,7
R00010,3,UNTOUCHED,T1,none,14,16,14,16
R00011,0,CLONE_INTERVAL,T1,t1_add_blank_line,7,14,6,14
R00011,1,MUTATION,T1,t1_add_blank_line,,,8,8
R00011,2,UNTOUCHED,T1,none,4,6,3,5
R00011,3,UNTOUCHED,T1,none,15,22,15,22
R00012,0,CLONE_INTERVAL,T1,t1_add_blank_line,7,16,7,17
R00012,1,MUTATION,T1,t1_add_blank_line,,,14,14
R00012,2,UNTOUCHED,T1,none,3,6,3,6
R00012,3,UNTOUCHED,T1,none,17,22,18,23
R00013,0,CLONE_INTERVAL,T3,t3_delete_statement,7,12,6,10
R00013,1,MUTATION,T3,t3_delete_statement,12,12,,
R00013,2,UNTOUCHED,T1,none,4,6,3,5
R00013,3,UNTOUCHED,T1,none,13,23,11,21
R00014,0,CLONE_INTERVAL,T3,t3_delete_statement,6,11,6,10
R00014,1,MUTATION,T3,t3_delete_statement,7,7,,
R00014,2,UNTOUCHED,T1,none,3,5,3,5
R00014,3,UNTOUCHED,T1,none,12,17,11,16
R00015,0,CLONE_INTERVAL,T1,t1_reindent,9,14,9,14
R00015,1,MUTATION,T1,t1_reindent,9,14,9,14
R00015,2,UNTOUCHED,T1,none,6,8,6,8
R00015,3,UNTOUCHED,T1,none,15,17,15,17
R00016,0,CLONE_INTERVAL,T3,t3_delete_statement,14,23,14,22
R00016,1,MUTATION,T3,t3_delete_statement,15,15,,
R00016,2,UNTOUCHED,T1,none,3,13,3,13
R00016,3,UNTOUCHED,T1,none,24,32,23,31
R00017,0,CLONE_INTERVAL,T2,t2_change_int_literal,9,31,9,31
R00017,1,MUTATION,T2,t2_change_int_literal,10,10,10,10
R00017,2,UNTOUCHED,T1,none,5,8,5,8
R00017,3,UNTOUCHED,T1,none,32,39,32,39
R00018,0,CLONE_INTERVAL,T2,t2_change_string_literal,16,21,16,21
R00018,1,MUTATION,T2,t2_change_string_literal,16,16,16,16
R00018,2,UNTOUCHED,T1,none,13,15,13,15
R00018,3,UNTOUCHED,T1,none,22,24,22,24
R00019,0,CLONE_INTERVAL,T1,t1_reindent,9,19,9,19
R00019,1,MUTATION,T1,t1_reindent,9,19,9,19
R00019,2,UNTOUCHED,T1,none,3,8,3,8
R00019,3,UNTOUCHED,T1,none,20,27,20,27
R00020,0,CLONE_INTERVAL,T1,t1_reindent,8,18,8,18
R00020,1,MUTATION,T1,t1_reindent,8,18,8,18
R00020,2,UNTOUCHED,T1,none,5,7,5,7
R00020,3,UNTOUCHED,T1,none,19,25,19,25
R00021,0,CLONE_INTERVAL,T3,t3_delete_statement,9,15,9,14
R00021,1,MUTATION,T3,t3_delete_statement,11,11,,
R00021,2,UNTOUCHED,T1,none,3,8,3,8
R00021,3,UNTOUCHED,T1,none,16,21,15,20
R00022,0,CLONE_INTERVAL,T3,t3_wrap_statement,7,15,7,17
R00022,1,MUTATION,T3,t3_wrap_statement,,,11,11
R00022,2,UNTOUCHED,T1,none,4,6,4,6
R00022,3,UNTOUCHED,T1,none,16,18,18,20
R00023,0,CLONE_INTERVAL,T3,t3_wrap_statement,6,11,6,13
R00023,1,MUTATION,T3,t3_wrap_statement,,,7,7
R00023,2,UNTOUCHED,T1,none,3,5,3,5
R00023,3,UNTOUCHED,T1,none,12,20,14,22
R00024,0,CLONE_INTERVAL,T1,t1_add_block_comment,7,12,7,13
R00024,1,MUTATION,T1,t1_add_block_comment,,,8,8
