pair_id,ref_index,kind,expected,operator,status,candidates,matched,predicted_type,type_correct,coverage,precision,iou
R00000,0,CLONE_INTERVAL,T3,t3_insert_statement,ok,1,True,T3,True,1.0,0.1017,0.1017
R00000,1,MUTATION,T3,t3_insert_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00000,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6,0.0968,0.0909
R00000,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.7,0.3684,0.3182
R00001,0,CLONE_INTERVAL,T3,t3_wrap_statement,ok,1,True,T3,True,1.0,0.5455,0.5455
R00001,1,MUTATION,T3,t3_wrap_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00001,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.3333,0.3333,0.2
R00001,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.75,0.6,0.5
R00002,0,CLONE_INTERVAL,T3,t3_insert_statement,ok,9,True,T3,True,1.0,0.6,0.6
R00002,1,MUTATION,T3,t3_insert_statement,ok,11,True,T3,True,1.0,1.0,1.0
R00002,2,UNTOUCHED,T1,none,ok,11,True,T1,True,0.5,0.4,0.2857
R00002,3,UNTOUCHED,T1,none,ok,11,True,T1,True,0.5714,0.4,0.3077
R00003,0,CLONE_INTERVAL,T3,t3_delete_statement,ok,1,True,T3,True,0.8,0.1667,0.16
R00003,1,MUTATION,T3,t3_delete_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00003,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.75,0.4286,0.375
R00003,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6842,1.0,0.6842
R00004,0,CLONE_INTERVAL,T1,t1_reindent,ok,1,True,T1,True,1.0,0.4615,0.4615
R00004,1,MUTATION,T1,t1_reindent,ok,1,True,T1,True,1.0,0.5455,0.5455
R00004,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6667,0.1818,0.1667
R00004,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.5,0.2727,0.2143
R00005,0,CLONE_INTERVAL,T1,t1_reindent,ok,1,True,T1,True,1.0,0.5455,0.5455
R00005,1,MUTATION,T1,t1_reindent,ok,1,True,T1,True,0.8333,0.5556,0.5
R00005,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.2857,0.2222,0.1429
R00005,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.5,0.2222,0.1818
R00006,0,CLONE_INTERVAL,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.5455,0.5455
R00006,1,MUTATION,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.1111,0.1111
R00006,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.75,0.3333,0.3
R00006,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6667,0.2222,0.2
R00007,0,CLONE_INTERVAL,T3,t3_wrap_statement,ok,1,True,T3,True,1.0,0.5455,0.5455
R00007,1,MUTATION,T3,t3_wrap_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00007,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.5,0.4
R00007,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.5,0.5,0.3333
R00008,0,CLONE_INTERVAL,T2,t2_rename_local,ok,1,True,T2,True,0.8889,0.7273,0.6667
R00008,1,MUTATION,T2,t2_rename_local,ok,3,True,T2,True,1.0,0.25,0.25
R00008,1,MUTATION,T2,t2_rename_local,ok,3,True,T2,True,1.0,0.5,0.5
R00008,1,MUTATION,T2,t2_rename_local,ok,3,True,T2,True,1.0,0.25,0.25
R00008,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.25,0.5,0.2
R00008,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.4,1.0,0.4
R00009,0,CLONE_INTERVAL,T2,t2_rename_local,ok,1,True,T2,True,1.0,0.3226,0.3226
R00009,1,MUTATION,T2,t2_rename_local,ok,3,True,T2,True,1.0,0.6667,0.6667
R00009,1,MUTATION,T2,t2_rename_local,ok,3,True,T2,True,1.0,0.3333,0.3333
R00009,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.8333,0.8333,0.7143
R00009,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.7059,1.0,0.7059
R00010,0,CLONE_INTERVAL,T2,t2_change_string_literal,ok,2,True,T2,True,1.0,0.4048,0.4048
R00010,1,MUTATION,T2,t2_change_string_literal,ok,4,True,T2,True,1.0,1.0,1.0
R00010,2,UNTOUCHED,T1,none,ok,4,True,T1,True,0.8333,0.4167,0.3846
R00010,3,UNTOUCHED,T1,none,ok,4,True,T1,True,0.6667,0.1,0.0952
R00011,0,CLONE_INTERVAL,T2,t2_change_int_literal,ok,1,True,T2,True,1.0,0.3158,0.3158
R00011,1,MUTATION,T2,t2_change_int_literal,ok,3,True,T2,True,1.0,1.0,1.0
R00011,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.4,0.5,0.2857
R00011,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6923,0.8182,0.6
R00012,0,CLONE_INTERVAL,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.24,0.24
R00012,1,MUTATION,T1,t1_add_eol_comment,ok,1,False,,False,0.0,0.0,0.0
R00012,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.75,0.15,0.1429
R00012,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6,0.15,0.1364
R00013,0,CLONE_INTERVAL,T3,t3_delete_statement,ok,1,True,T3,True,1.0,0.3846,0.3846
R00013,1,MUTATION,T3,t3_delete_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00013,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.75,0.5,0.4286
R00013,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.8,0.5714
R00014,0,CLONE_INTERVAL,T1,t1_add_block_comment,ok,1,True,T1,True,0.875,0.3182,0.3043
R00014,1,MUTATION,T1,t1_add_block_comment,ok,1,False,,False,0.0,0.0,0.0
R00014,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.75,0.1765,0.1667
R00014,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6923,0.5294,0.4286
R00015,0,CLONE_INTERVAL,T2,t2_change_int_literal,ok,1,True,T2,True,1.0,0.6875,0.6875
R00015,1,MUTATION,T2,t2_change_int_literal,ok,3,True,T2,True,1.0,1.0,1.0
R00015,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.5,0.4
R00015,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.75,0.375,0.3333
R00016,0,CLONE_INTERVAL,T2,t2_change_int_literal,ok,1,True,T2,True,1.0,0.1667,0.1667
R00016,1,MUTATION,T2,t2_change_int_literal,ok,3,True,T2,True,1.0,1.0,1.0
R00016,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6,0.6,0.4286
R00016,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.3333,0.0435,0.04
R00017,0,CLONE_INTERVAL,T3,t3_wrap_statement,ok,1,True,T3,True,1.0,0.3333,0.3333
R00017,1,MUTATION,T3,t3_wrap_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00017,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.875,0.7,0.6364
R00017,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.5714,0.6667,0.4444
R00018,0,CLONE_INTERVAL,T1,t1_reindent,ok,1,True,T1,True,1.0,0.6,0.6
R00018,1,MUTATION,T1,t1_reindent,ok,1,True,T1,True,0.8333,0.625,0.5556
R00018,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6667,0.125,0.1176
R00018,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.5714,0.25,0.2105
R00019,0,CLONE_INTERVAL,T3,t3_insert_statement,ok,1,True,T3,True,1.0,0.4375,0.4375
R00019,1,MUTATION,T3,t3_insert_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00019,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.7143,0.625,0.5
R00019,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6,0.6,0.4286
R00020,0,CLONE_INTERVAL,T1,t1_add_block_comment,ok,1,True,T1,True,1.0,0.35,0.35
R00020,1,MUTATION,T1,t1_add_block_comment,ok,1,False,,False,0.0,0.0,0.0
R00020,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.8571,0.3529,0.3333
R00020,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.75,0.3529,0.3158
R00021,0,CLONE_INTERVAL,T2,t2_rename_local,ok,1,True,T2,True,1.0,0.5417,0.5417
R00021,1,MUTATION,T2,t2_rename_local,ok,3,True,T2,True,1.0,0.2,0.2
R00021,1,MUTATION,T2,t2_rename_local,ok,3,True,T2,True,1.0,0.6,0.6
R00021,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.7143,1.0,0.7143
R00021,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.5,0.5,0.3333
R00022,0,CLONE_INTERVAL,T1,t1_reindent,ok,1,True,T1,True,1.0,0.375,0.375
R00022,1,MUTATION,T1,t1_reindent,ok,1,True,T1,True,0.8333,0.4167,0.3846
R00022,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6667,0.1667,0.1538
R00022,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.5556,0.4167,0.3125
R00023,0,CLONE_INTERVAL,T1,t1_add_blank_line,ok,1,True,T1,True,1.0,0.3529,0.3529
R00023,1,MUTATION,T1,t1_add_blank_line,ok,1,True,T1,True,1.0,0.0667,0.0667
R00023,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.8,0.2667,0.25
R00023,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.625,0.3333,0.2778
R00024,0,CLONE_INTERVAL,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.45,0.45
R00024,1,MUTATION,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.0588,0.0588
R00024,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.75,0.3529,0.3158
R00024,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.8,0.2353,0.2222
R00025,0,CLONE_INTERVAL,T1,t1_add_block_comment,ok,1,True,T1,True,0.8571,0.1935,0.1875
R00025,1,MUTATION,T1,t1_add_block_comment,ok,1,False,,False,0.0,0.0,0.0
R00025,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6667,0.0833,0.08
R00025,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6667,0.25,0.2222
R00026,0,CLONE_INTERVAL,T3,t3_wrap_statement,ok,1,True,T3,True,1.0,0.4,0.4
R00026,1,MUTATION,T3,t3_wrap_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00026,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.6667,0.5
R00026,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.5714,0.4444
R00027,0,CLONE_INTERVAL,T1,t1_add_blank_line,ok,1,True,T1,True,0.8571,0.2609,0.25
R00027,1,MUTATION,T1,t1_add_blank_line,ok,1,False,,False,0.0,0.0,0.0
R00027,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6667,0.0952,0.0909
R00027,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.8125,0.619,0.5417
R00028,0,CLONE_INTERVAL,T1,t1_add_blank_line,ok,1,True,T1,True,0.8571,0.4615,0.4286
R00028,1,MUTATION,T1,t1_add_blank_line,ok,1,False,,False,0.0,0.0,0.0
R00028,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.7143,0.4167,0.3571
R00028,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6667,0.1667,0.1538
R00029,0,CLONE_INTERVAL,T1,t1_add_block_comment,ok,1,True,T1,True,0.8571,0.3333,0.3158
R00029,1,MUTATION,T1,t1_add_block_comment,ok,1,False,,False,0.0,0.0,0.0
R00029,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6667,0.1429,0.1333
R00029,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6364,0.5,0.3889
R00030,0,CLONE_INTERVAL,T3,t3_wrap_statement,ok,1,True,T3,True,1.0,0.5,0.5
R00030,1,MUTATION,T3,t3_wrap_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00030,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.8,0.5714,0.5
R00030,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.5,0.5,0.3333
R00031,0,CLONE_INTERVAL,T1,t1_reindent,ok,1,True,T1,True,1.0,0.2593,0.2593
R00031,1,MUTATION,T1,t1_reindent,ok,1,True,T1,True,0.7143,0.25,0.2273
R00031,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.75,0.3,0.2727
R00031,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6429,0.45,0.36
R00032,0,CLONE_INTERVAL,T1,t1_reindent,ok,1,True,T1,True,1.0,0.28,0.28
R00032,1,MUTATION,T1,t1_reindent,ok,1,True,T1,True,0.7143,0.25,0.2273
R00032,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.8333,0.25,0.2381
R00032,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.7143,0.5,0.4167
R00033,0,CLONE_INTERVAL,T3,t3_insert_statement,ok,1,True,T3,True,1.0,0.6,0.6
R00033,1,MUTATION,T3,t3_insert_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00033,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.4,0.3333
R00033,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.5,0.4,0.2857
R00034,0,CLONE_INTERVAL,T3,t3_delete_statement,ok,1,True,T3,True,0.8,0.25,0.2353
R00034,1,MUTATION,T3,t3_delete_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00034,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.4,0.3333
R00034,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.3125,0.5,0.2381
R00035,0,CLONE_INTERVAL,T3,t3_insert_statement,ok,1,True,T3,True,1.0,0.1364,0.1364
R00035,1,MUTATION,T3,t3_insert_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00035,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.5,0.4
R00035,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6486,0.8571,0.5854
R00036,0,CLONE_INTERVAL,T3,t3_delete_statement,ok,2,True,T3,True,1.0,0.3333,0.3333
R00036,1,MUTATION,T3,t3_delete_statement,ok,4,True,T3,True,1.0,1.0,1.0
R00036,2,UNTOUCHED,T1,none,ok,4,True,T1,True,0.8571,1.0,0.8571
R00036,3,UNTOUCHED,T1,none,ok,4,True,T1,True,0.5,0.25,0.2
R00037,0,CLONE_INTERVAL,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.4706,0.4706
R00037,1,MUTATION,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.0667,0.0667
R00037,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.875,0.4667,0.4375
R00037,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6667,0.1333,0.125
R00038,0,CLONE_INTERVAL,T2,t2_change_string_literal,ok,1,True,T2,True,1.0,0.3333,0.3333
R00038,1,MUTATION,T2,t2_change_string_literal,ok,3,True,T2,True,1.0,1.0,1.0
R00038,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.5,0.4
R00038,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.7273,0.8889,0.6667
R00039,0,CLONE_INTERVAL,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.7083,0.7083
R00039,1,MUTATION,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.0476,0.0476
